task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABDPT (default),TA-TABPFN-2.6 (default),TA-TABICLv2 (default)
food_delivery_time-c2db6ce03f6d,1.0,0.24634054508448328,0.4290766986331994,0.0,0.10505558441474915,0.030279855786670324,0.08176835506019257,0.31716959111435017,0.1040740356197761,0.012438812927480858,0.24025188849334161
forensic_glass_identification-e304196b0ccc,1.0,0.15168317255534333,0.26402788945774,0.24126530136838467,0.39686592581325203,0.3526524801960363,0.26149386602373753,0.397550800247635,0.0,0.06732499593173656,7.167082785228983e-06
forest_fires-7dc3af8601af,0.336612063777078,1.0,0.3081583504507797,0.20989393075885965,0.4041820568213351,0.2543508025016044,0.2556564874305261,0.38676491635616694,0.0,0.4399948532935324,0.061470399385254816
gallstone_disease-63982cfe3e7c,0.4694745076083402,1.0,0.7631997640028099,0.750778905890805,0.7597816140117128,0.8639109447240363,0.3184686404559774,0.5451419925285271,0.1588675678381183,0.11880828506050885,0.0
garments_worker_productivity-7b6a94e87c93,1.0,0.0258727976516394,0.061490247805109276,0.01704869648422672,0.0259020080197083,0.017170028981691267,0.05531148599178265,0.0580123381407413,0.06988065313297558,0.0,0.07795791877840157
ghanas_indigenous_intel-ecbbda50d44e,0.4493209374989831,0.9724476348829495,0.8855667364075629,0.21917168243949517,0.11551950689267325,0.5706682967662844,0.0,0.16599717250999121,1.0,0.27605814078083424,0.9773208906053181
give_me_some_credit-51f4a5f15bd6,0.2393137456839473,0.3393641243943266,0.32011025057275927,0.03285765875598766,0.00024645093407147306,0.016749081443256895,0.010042741414404506,0.0,1.0,0.20514131143939407,0.0013894006780896554
hazelnut_spread_contaminant_detection-2e831ed5986d,0.9112442145385258,1.0,0.8802069153280708,0.5427443506670316,0.441464742717126,0.5153825210999188,0.2522461203376007,0.2948543424993212,0.057854614756332946,0.10679281241491981,0.0
healthcare_insurance_expenses-ad067e29f4ae,1.0,0.22155919693265172,0.1387131203829438,0.10670720834426412,0.08474423712229794,0.119513122393908,0.12933446397415574,0.1281045201640736,0.01803916552142572,0.04330600008718606,0.0
heart_disease_cleveland-1e633334e0ef,0.008127181822543834,0.9190350943370356,0.0,0.16087362060806237,0.10910655867002061,1.0,0.2172940942478772,0.6782116084961605,0.22169374584210597,0.17832134259671686,0.030557517814642818
heart_disease_hungary-f5ca5cfb8352,0.0,1.0,0.16940965768014848,0.5673988847129694,0.4692889027583682,0.7008127213274902,0.12466249677760698,0.2782654708763551,0.36724420986934136,0.1555024897222653,0.15935579284425536
heart_disease_va_long_beach-062b5d1dcb90,0.5219031041485357,0.20757180156658003,0.0,0.29369741804467714,0.734769364664926,0.8550551203945462,1.0,0.6912895271250376,0.03834856396866916,0.4399115172613871,0.5084493762692208
heart_failure_followup_survival-25d12c8bf5bb,1.0,0.046757439275207896,0.19905756163598953,0.0965088125797299,0.21530290802114002,0.04725208924526801,0.24341985368774552,0.0700320220770096,0.28072687511389904,0.12561505818645782,0.0
heloc-d2ac12c6b994,1.0,0.36760279506690235,0.39467445639145143,0.2676800411979306,0.25413977110284275,0.24348513233949026,0.09628241895814772,0.2030418993669314,0.3450948706793202,0.0,0.08308842462286647
hepatitis_c_prediction-d17a9e02b43b,1.0,0.6651214433947921,0.5611199717160636,0.5588980356396399,0.4318565829873,0.6658769714702257,0.23556470312776204,0.16393753217901957,0.6809754969478409,0.0,0.0978519386139075
hepatitis_survival_prediction-d1673748bbbe,0.5237451411188094,0.664356937637315,0.5071826939327361,0.4111881020787556,1.0,0.8634443129964506,0.6971438228832177,0.35305053236437367,0.0,0.44532702382964273,0.257731958762886
hiva_agnostic-c4b35582c204,1.0,0.16385021031072683,0.13321076176750213,0.15060124702749025,0.033529899031677066,0.0,0.2235628094913967,0.34202467652960894,0.17073624884671784,0.026296944046131816,0.6626916980637666
homeq_default_prediction-6da1464558b9,1.0,0.1877773007013028,0.1520585849911745,0.11976527837412412,0.13955441057201498,0.14754067076952462,0.039120270979438466,0.11688373646295562,0.02240351128285893,0.0,0.0049329707552124465
horse_colic_survival-e1beb13d0b4e,1.0,0.2176438998138159,0.17428198288216645,0.3408663512563134,0.09030828888845618,0.07888474603864039,0.0,0.08520911817653931,0.3930286473808454,0.26887393792515385,0.07234801210360907
hotel_booking_demand-9541da6f5a2b,0.17772849219406836,0.6231657106455462,0.5813594949836399,0.0,0.13497684533974,0.08576763272304691,0.08172735424300967,0.06494604576082683,1.0,0.21896601750305578,0.48607826599852616
houses-ca1697d5c050,1.0,0.27777201117594047,0.3285803674613806,0.12667474814532667,0.16051799081051593,0.17386559190392253,0.06699410668981536,0.10726769978678186,0.09704086726281293,0.017991694216396844,0.0
hr_analytics-9f0cb22a2cd4,1.0,0.539120779324847,0.7048379649944898,0.09478275137080758,0.3710531035245886,0.13208533500207964,0.2366516199684844,0.44846664860554053,0.4907831024180347,0.17353561793851235,0.0
immoscout_german_house_prices-58b4f389c67d,1.0,0.7315219011844726,0.8267754311449823,0.08284598758474013,0.12903673022380927,0.13461773010280484,0.04737800154703217,0.06956166931699283,0.7565530068163906,0.0,0.04167052536192784
