task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABICLv2 (default)
sdss_17-3d9b16fdea21,1.0,0.375,0.5,0.25,0.625,0.125,0.875,0.75,0.0
seismic_bumps-9636045db12f,1.0,0.75,0.375,0.25,0.5,0.125,0.875,0.625,0.0
sepsis_prediction_1m-77a236a7d8eb,1.0,0.625,0.875,0.5,0.0,0.25,0.375,0.125,0.75
sepsis_survival_minimal_clinical_records-225532acc0df,0.875,0.75,0.625,0.375,0.125,0.5,0.0,0.25,1.0
sf_permit_time-a3faf4c318ef,0.875,0.625,0.75,0.0,0.125,0.25,0.375,1.0,0.5
south_africa_coronary_heart_disease-0e8d7cd42b03,0.0,1.0,0.5,0.75,0.25,0.875,0.375,0.625,0.125
splice-0b61e96684a9,0.75,1.0,0.875,0.5,0.125,0.25,0.375,0.625,0.0
student_portuguese_performance-3bb888dc8310,1.0,0.5,0.125,0.75,0.375,0.875,0.625,0.25,0.0
superconductivity-f6f2e1d679cc,1.0,0.875,0.75,0.625,0.25,0.5,0.375,0.125,0.0
taiwanese_bankruptcy_prediction-e1d1c0962bcb,0.875,1.0,0.75,0.625,0.125,0.375,0.25,0.5,0.0
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,0.875,0.75,0.375,0.0,0.125,0.25,0.5,0.625,1.0
thyroid_discordant-1111dc4e4f7d,1.0,0.375,0.25,0.75,0.625,0.875,0.125,0.5,0.0
tour_travels_churn-638a10e1adbe,1.0,0.0,0.875,0.375,0.5,0.125,0.625,0.75,0.25
video_game_fps_prediction-af230e95b2ad,1.0,0.875,0.75,0.375,0.125,0.625,0.0,0.25,0.5
video_transcoding_time_prediction-1aa8b8149615,1.0,0.75,0.5,0.125,0.375,0.625,0.0,0.25,0.875
website_phishing-e1ffdd9e6d3a,1.0,0.25,0.625,0.5,0.875,0.75,0.125,0.375,0.0
wids_diabetes_mellitus-d05f898265f2,0.875,1.0,0.75,0.5,0.375,0.25,0.125,0.0,0.625
wine_quality-6ad3969edbaa,1.0,0.625,0.375,0.25,0.875,0.5,0.125,0.75,0.0
wine_world_cost-59804d5f92e6,0.875,1.0,0.75,0.625,0.125,0.5,0.0,0.25,0.375
